data,quantidade,is_weekend,previous_day_sales_1,previous_day_sales_2,previous_day_sales_3,previous_day_sales_4,previous_day_sales_5,days_until_easter,selic,days_since_selic_update
2011-06-28,1.0,0,0.0,0.0,0.0,0.0,0.0,285.0,12.17,19
2011-06-30,1.0,0,1.0,0.0,0.0,0.0,0.0,283.0,12.17,21
2011-07-01,1.0,0,1.0,1.0,0.0,0.0,0.0,282.0,12.17,22
2011-07-04,1.0,0,1.0,1.0,1.0,0.0,0.0,279.0,12.17,25
2011-07-05,1.0,0,1.0,1.0,1.0,1.0,0.0,278.0,12.17,26
2011-07-07,1.0,0,1.0,1.0,1.0,1.0,1.0,276.0,12.17,28
2011-07-08,1.0,0,1.0,1.0,1.0,1.0,1.0,275.0,12.17,29
2011-07-10,1.0,0,1.0,1.0,1.0,1.0,1.0,273.0,12.17,31
2011-07-11,1.0,0,1.0,1.0,1.0,1.0,1.0,272.0,12.17,32
2011-07-13,2.0,0,1.0,1.0,1.0,1.0,1.0,270.0,12.17,34
2011-07-14,1.0,0,2.0,1.0,1.0,1.0,1.0,269.0,12.17,35
2011-07-15,3.0,0,1.0,2.0,1.0,1.0,1.0,268.0,12.17,36
2011-07-17,2.0,0,3.0,1.0,2.0,1.0,1.0,266.0,12.17,38
2011-07-19,2.0,0,2.0,3.0,1.0,2.0,1.0,264.0,12.17,40
2011-07-20,1.0,0,2.0,2.0,3.0,1.0,2.0,263.0,12.17,41
2011-07-21,2.0,0,1.0,2.0,2.0,3.0,1.0,262.0,12.42,0
2011-07-22,1.0,0,2.0,1.0,2.0,2.0,3.0,261.0,12.42,1
2011-07-29,2.0,0,1.0,2.0,1.0,2.0,2.0,254.0,12.42,8
2011-08-02,1.0,0,2.0,1.0,2.0,1.0,2.0,250.0,12.42,12
2011-08-03,3.0,0,1.0,2.0,1.0,2.0,1.0,249.0,12.42,13
2011-08-05,2.0,0,3.0,1.0,2.0,1.0,2.0,247.0,12.42,15
2011-08-08,2.0,0,2.0,3.0,1.0,2.0,1.0,244.0,12.42,18
2011-08-09,4.0,0,2.0,2.0,3.0,1.0,2.0,243.0,12.42,19
2011-08-10,3.0,0,4.0,2.0,2.0,3.0,1.0,242.0,12.42,20
2011-08-11,5.0,0,3.0,4.0,2.0,2.0,3.0,241.0,12.42,21
2011-08-12,2.0,0,5.0,3.0,4.0,2.0,2.0,240.0,12.42,22
2011-08-16,1.0,0,2.0,5.0,3.0,4.0,2.0,236.0,12.42,26
2011-08-17,4.0,0,1.0,2.0,5.0,3.0,4.0,235.0,12.42,27
2011-08-18,4.0,0,4.0,1.0,2.0,5.0,3.0,234.0,12.42,28
2011-08-19,2.0,0,4.0,4.0,1.0,2.0,5.0,233.0,12.42,29
2011-08-22,3.0,0,2.0,4.0,4.0,1.0,2.0,230.0,12.42,32
2011-08-23,2.0,0,3.0,2.0,4.0,4.0,1.0,229.0,12.42,33
2011-08-24,1.0,0,2.0,3.0,2.0,4.0,4.0,228.0,12.42,34
2011-08-25,5.0,0,1.0,2.0,3.0,2.0,4.0,227.0,12.42,35
2011-08-26,1.0,0,5.0,1.0,2.0,3.0,2.0,226.0,12.42,36
2011-08-29,1.0,0,1.0,5.0,1.0,2.0,3.0,223.0,12.42,39
2011-08-30,2.0,0,1.0,1.0,5.0,1.0,2.0,222.0,12.42,40
2011-09-01,3.0,0,2.0,1.0,1.0,5.0,1.0,220.0,11.9,0
2011-09-02,2.0,0,3.0,2.0,1.0,1.0,5.0,219.0,11.9,1
2011-09-05,3.0,0,2.0,3.0,2.0,1.0,1.0,216.0,11.9,4
2011-09-06,1.0,0,3.0,2.0,3.0,2.0,1.0,215.0,11.9,5
2011-09-09,1.0,0,1.0,3.0,2.0,3.0,2.0,212.0,11.9,8
2011-09-12,5.0,0,1.0,1.0,3.0,2.0,3.0,209.0,11.9,11
2011-09-14,1.0,0,5.0,1.0,1.0,3.0,2.0,207.0,11.9,13
2011-09-16,1.0,0,1.0,5.0,1.0,1.0,3.0,205.0,11.9,15
2011-09-19,2.0,0,1.0,1.0,5.0,1.0,1.0,202.0,11.9,18
2011-09-20,2.0,0,2.0,1.0,1.0,5.0,1.0,201.0,11.9,19
2011-09-21,5.0,0,2.0,2.0,1.0,1.0,5.0,200.0,11.9,20
2011-09-22,4.0,0,5.0,2.0,2.0,1.0,1.0,199.0,11.9,21
2011-09-23,3.0,0,4.0,5.0,2.0,2.0,1.0,198.0,11.9,22
2011-09-26,1.0,0,3.0,4.0,5.0,2.0,2.0,195.0,11.9,25
